Bahrain Grand Prix,5.412
Saudi Arabian Grand Prix,6.174
Australian Grand Prix,5.278
Emilia Romagna Grand Prix,4.909
Miami Grand Prix,5.412
Spanish Grand Prix,4.657
Monaco Grand Prix,3.337
Azerbaijan Grand Prix,6.003
Canadian Grand Prix,4.361
British Grand Prix,5.891
Austrian Grand Prix,4.326
French Grand Prix,5.842
Hungarian Grand Prix,4.381
Belgian Grand Prix,7.004
Dutch Grand Prix,4.259
Italian Grand Prix,5.793
Singapore Grand Prix,4.94
Japanese Grand Prix,5.807
United States Grand Prix,5.513
Mexico City Grand Prix,4.304
Sao Paulo Grand Prix,4.309
Abu Dhabi Grand Prix,5.281
Qatar Grand Prix,5.419
Las Vegas Grand Prix,6.201
Chinese Grand Prix,5.451
